0, 2200, -300, 1300
43.595704555511475, 875, 1241, 1032, 812
43.61870551109314, 875, 1241, 1032, 812
43.629738569259644, 920, 1254, 1038, 811
43.65370845794678, 920, 1254, 1038, 811
43.670734167099, 954, 1240, 1042, 817
43.68073558807373, 954, 1240, 1042, 817
43.70373868942261, 865, 1218, 1026, 783
43.71471571922302, 865, 1218, 1026, 783
43.73773980140686, 867, 1208, 1029, 803
43.74870538711548, 867, 1208, 1029, 803
43.771705627441406, 866, 1208, 1031, 776
43.78284049034119, 866, 1208, 1031, 776
43.80573511123657, 870, 1205, 1037, 769
43.81670355796814, 870, 1205, 1037, 769
43.83973813056946, 930, 1166, 1042, 751
43.849839210510254, 930, 1166, 1042, 751
43.866708278656006, 932, 1152, 1050, 716
43.882739543914795, 932, 1152, 1050, 716
43.905548095703125, 937, 1144, 1058, 700
43.9181113243103, 937, 1144, 1058, 700
43.94113111495972, 1026, 1153, 1071, 730
43.95210671424866, 1026, 1153, 1071, 730
43.975136280059814, 883, 1108, 1084, 687
43.98609662055969, 883, 1108, 1084, 687
44.00912141799927, 956, 1130, 1107, 755
44.02009630203247, 956, 1130, 1107, 755
44.04312610626221, 959, 1135, 1120, 751
44.05410122871399, 959, 1135, 1120, 751
44.077099561691284, 892, 1255, 1127, 716
44.088095903396606, 892, 1255, 1127, 716
44.1100971698761, 897, 1256, 1135, 714
44.122095346450806, 902, 1256, 1145, 715
44.14409518241882, 902, 1256, 1145, 715
44.15609574317932, 902, 1256, 1145, 715
44.173118114471436, 902, 1256, 1145, 715
44.19013524055481, 923, 1259, 1158, 724
44.21312618255615, 923, 1259, 1158, 724
44.22409701347351, 929, 1260, 1167, 724
44.248130798339844, 929, 1260, 1167, 724
44.25809574127197, 929, 1260, 1167, 724
44.28109550476074, 929, 1260, 1167, 724
44.292097091674805, 862, 855, 1180, 720
44.31509613990784, 862, 855, 1180, 720
44.32609486579895, 714, 812, 1188, 715
44.34913158416748, 714, 812, 1188, 715
44.36010026931763, 716, 814, 1195, 705
44.38509917259216, 716, 814, 1195, 705
44.39409613609314, 716, 814, 1195, 705
44.411128282547, 716, 814, 1195, 705
44.428122758865356, 734, 820, 1204, 695
44.45209813117981, 734, 820, 1204, 695
44.46209979057312, 735, 819, 1210, 691
44.479111194610596, 735, 819, 1210, 691
44.49610161781311, 740, 819, 1213, 689
44.52012658119202, 740, 819, 1213, 689
44.53009629249573, 740, 819, 1213, 689
44.55510711669922, 740, 819, 1213, 689
44.56409692764282, 743, 824, 1217, 686
44.58810043334961, 743, 824, 1217, 686
44.604095220565796, 744, 828, 1219, 683
44.6151282787323, 744, 828, 1219, 683
44.63810133934021, 744, 825, 1224, 665
44.64909529685974, 744, 825, 1224, 665
44.674095153808594, 747, 814, 1225, 663
44.683130502700806, 747, 814, 1225, 663
44.70609664916992, 742, 802, 1225, 663
44.717124938964844, 742, 802, 1225, 663
44.73909664154053, 741, 803, 1224, 664
